State/Union Territory,lr_1951,lr_1961,lr_1971,lr_1981,lr_1991,lr_2001,lr_2011
Andaman and Nicobar Islands,30.3,40.07,51.15,63.19,73.02,81.3,86.6
Andhra Pradesh,,21.19,24.57,35.66,44.08,60.47,67
Arunachal Pradesh,,7.13,11.29,25.55,41.59,54.34,65.4
Assam,18.53,32.95,33.94,,52.89,63.25,72.2
Bihar,13.49,21.95,23.17,32.32,37.49,47,61.8
Chandigarh,,,70.43,74.8,77.81,81.94,86
Chhattisgarh,9.41,18.14,24.08,32.63,42.91,64.66,70.3
Delhi,,61.95,65.08,71.94,75.29,81.67,86.2
Goa,23.48,35.41,51.96,65.71,75.51,82.01,88.7
Gujarat,21.82,31.47,36.95,44.92,61.29,69.14,78
Haryana,,,25.71,37.13,55.85,67.91,75.6
Himachal Pradesh,,,,,63.86,76.48,82.8
Jammu And Kashmir,,12.95,21.71,30.64,,55.52,67.2
Jharkhand,12.93,21.14,23.87,35.03,41.39,53.56,66.4
Karnataka,,29.8,36.83,46.21,56.04,66.64,75.4
Kerala,47.18,55.08,69.75,78.85,89.81,90.86,94
Ladakh,,,,,,,
Lakshadweep,15.23,27.15,51.76,68.42,81.78,86.66,91.8
Madhya Pradesh,13.16,21.41,27.27,38.63,44.67,63.74,69.3
Maharashtra,27.91,35.08,45.77,57.24,64.87,76.88,82.3
Manipur,12.57,36.04,38.47,49.66,59.89,70.53,76.9
Meghalaya,,26.92,29.49,42.05,49.1,62.56,74.4
Mizoram,31.14,44.01,53.8,59.88,82.26,88.8,91.3
Nagaland,10.52,21.95,33.78,50.28,61.65,66.59,79.6
Odisha,15.8,21.66,26.18,33.62,49.09,63.08,72.9
Puducherry,,43.65,53.38,65.14,74.74,81.24,85.8
Punjab,,,34.12,43.37,58.51,69.65,75.8
Rajasthan,8.5,18.12,22.57,30.11,38.55,60.41,66.1
Sikkim,,,17.74,34.05,56.94,68.81,81.4
Tamil Nadu,,36.39,45.4,54.39,62.66,73.45,80.1
Telangana,,,,,,,
The Dadra And Nagar Haveli And Daman And Diu,,,18.13,32.9,55.955,67.905,81.65
Tripura,,20.24,30.98,50.1,60.44,73.19,87.2
Uttar Pradesh,12.02,20.87,23.99,32.65,40.71,56.27,67.7
Uttarakhand,18.93,18.05,33.26,46.06,57.75,71.62,78.8
West Bengal,24.61,34.46,38.86,48.65,57.7,68.64,76.3
